Rank,country,Capital,Continent,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
64,Romania,Bucharest,Europe,16392971,17455291,18458008,19117072,19922618,21167265,22125224,22525363,22836234,22533134,21919876
9,Russia,Moscow,Europe,102580107,110971852,119735095,126400607,130093010,133841842,138257420,142896392,148005704,148557451,146844839
76,Rwanda,Kigali,Africa,2154218,2537919,2966162,3348631,3896367,4515756,5247532,6266752,7319962,5686897,8109989
228,Saint Barthelemy,Gustavia,North America,2007,2130,2193,2346,2417,2575,2983,4016,5168,6144,7082
190,Saint Lucia,Castries,North America,86695,88463,91614,97024,103090,111497,121633,132751,142301,152348,159500
220,Saint Martin,Marigot,North America,2978,3538,4135,4832,5802,6656,7776,15714,28127,29435,29610
188,Samoa,Apia,Oceania,87951,98037,113335,129789,142771,155263,164905,166517,168186,174902,184008
218,San Marino,San Marino,Europe,12963,13967,15556,17273,18169,19803,21346,22241,23132,24886,26823
41,Saudi Arabia,Riyadh,Asia,3089693,3581910,4165563,4978922,6106191,7897544,10171710,12890245,16004763,18888857,21547390
72,Senegal,Dakar,Africa,2496065,2847262,3273177,3770874,4367744,5047922,5703869,6520705,7536001,8632681,9704287
105,Serbia,Belgrade,Europe,6017683,6348547,6579989,6902989,7193533,7479833,7777010,7912069,7987529,7982462,7935022
196,Seychelles,Victoria,Africa,38106,39788,43167,48123,54379,60943,65290,67833,71057,74735,80060
102,Sierra Leone,Freetown,Africa,2000790,2135644,2301310,2520576,2778557,3055916,3367477,3749419,4325388,4324149,4584067
113,Singapore,Singapore,Asia,1006701,1267611,1601079,1860651,2061831,2232425,2400729,2685994,3022209,3543875,4053602
214,Sint Maarten,Philipsburg,North America,1458,1973,2646,4161,6260,8906,12243,19064,27845,31596,30489
116,Slovakia,Bratislava,Europe,3465617,3796626,4124239,4363511,4522867,4737059,4973883,5146571,5261305,5349997,5376690
148,Slovenia,Ljubljana,Europe,1445033,1521772,1599571,1669453,1741286,1817044,1901570,1952518,1986024,1991106,1984339
166,Solomon Islands,Honiara,Oceania,105209,117314,133440,151495,172833,197853,233668,277158,324171,375189,429978
70,Somalia,Mogadishu,Africa,2213052,2529910,2870732,3267593,3720977,4228289,5892224,6630637,6999096,7210930,8721465
24,South Africa,Pretoria,Africa,13043844,14594129,16520441,19187194,22368306,25777964,29463549,33752964,39877570,43986084,46813266
29,South Korea,Seoul,Asia,20104010,22075008,25817529,29179407,32601143,35930694,38170501,41232709,44120039,45393418,46788591
86,South Sudan,Juba,Africa,2492077,2695349,2907724,3143622,3342410,3718279,4192011,4706975,4750817,5302042,6114440
30,Spain,Madrid,Europe,28069694,29095374,30415591,32112015,33792617,35760431,37491666,38471920,38889889,39814573,40741651
61,Sri Lanka,Colombo,Asia,7945977,8749627,9783871,11035224,12388769,13662873,14943645,16092338,17204094,18177572,18776371
32,Sudan,Khartoum,Africa,6191323,7193065,8326462,9712785,11305206,13497543,16673586,19517196,21090886,23290602,26298773
170,Suriname,Paramaribo,South America,195765,227145,268396,321069,379918,392137,375112,387171,412756,434490,478998
87,Sweden,Stockholm,Europe,7014610,7264351,7492895,7755752,8027702,8224408,8311763,8389913,8548406,8758496,8871043
101,Switzerland,Bern,Europe,4692639,5002410,5328273,5857047,6181227,6338267,6319113,6469824,6711693,7038297,7182059
60,Syria,Damascus,Asia,3543537,3989101,4610712,5368451,6319199,7497126,8898954,10540926,12408996,14313450,16307654
57,Taiwan,Taipei,Asia,7623130,9229462,10983147,13070708,14957870,16551774,18100281,19511876,20586174,21455813,22194731
95,Tajikistan,Dushanbe,Asia,1526140,1805209,2131992,2538295,2993019,3482125,4045965,4660598,5417860,5916173,6272998
22,Tanzania,Dodoma,Africa,7632399,8725576,10042458,11630603,13618192,16243826,19297659,22569625,26206012,30560071,34463704
20,Thailand,Bangkok,Asia,20411638,23173970,26596584,30940270,35791728,40908471,45737753,50594940,55228410,59424834,63066603
155,Timor-Leste,Dili,Asia,414791,437426,468573,507477,554021,600126,642224,682109,758106,819226,878360
100,Togo,Lomé,Africa,1398525,1518825,1651367,1820396,2197383,2509713,2838110,3336508,3875947,4279566,5008035
233,Tokelau,Nukunonu,Oceania,1599,1629,1795,1896,1714,1621,1647,1739,1669,1632,1666
197,Tonga,Nuku‘alofa,Oceania,49830,58024,67428,77686,86484,93477,96708,97055,98727,99977,102603
153,Trinidad and Tobago,Port-of-Spain,North America,648616,742576,847063,928462,988890,1054017,1127852,1199785,1266518,1307822,1332203
79,Tunisia,Tunis,Africa,3606288,3975544,4195467,4457282,5047404,5769074,6578156,7476092,8440023,9294102,9893316
18,Turkey,Ankara,Asia,20977697,23821353,27510980,31374536,35540990,39673590,44089069,49175673,54324142,59305490,64113547
111,Turkmenistan,Ashgabat,Asia,1214096,1363507,1602052,1897095,2201432,2525760,2862903,3246887,3720278,4226623,4569132
227,Tuvalu,Funafuti,Oceania,4732,5195,5404,5548,5814,6381,7731,8329,9182,9585,9638
31,Uganda,Kampala,Africa,5750637,6601785,7617746,8829056,10317212,11730959,13284026,15038915,17586630,20680831,24020697
38,Ukraine,Kiev,Europe,37302996,39836510,42767251,45387091,47279086,48892187,49973920,50917399,51589817,51061265,48879755
97,United Arab Emirates,Abu Dhabi,Asia,74591,101803,133426,173797,298084,543394,1014048,1379536,1900151,2433988,3275333
21,United Kingdom,London,Europe,50055065,51193266,52543017,54229565,55650166,56266842,56326328,56643045,57210442,57930364,58850043
3,United States,"Washington, D.C.",North America,148281550,161136449,176188578,189703283,200328340,211274535,223140018,235146182,248083732,265660556,282398554
133,Uruguay,Montevideo,South America,2234144,2366209,2529021,2680427,2790265,2871947,2953750,3024218,3117012,3208300,3292224
43,Uzbekistan,Tashkent,Asia,6247550,7141923,8372311,10130096,12011361,13894347,15947129,18063201,20579100,23026206,24925554
181,Vanuatu,Port-Vila,Oceania,51568,56770,64608,74677,87019,102010,118156,133119,150882,170612,192074
51,Venezuela,Caracas,South America,5488614,6752139,8156937,9688138,11355475,13176387,15210443,17402304,19750579,22107286,24427729
16,Vietnam,Hanoi,Asia,25109200,28263031,32718461,37466077,41928849,46969616,52968270,59811313,66912613,73759110,79001142
172,Western Sahara,El Aaiún,Africa,12982,20690,33023,51206,76371,66865,116775,150190,178529,208381,270375
46,Yemen,Sanaa,Asia,4712810,5091603,5542459,6097298,6843607,7855657,9204938,11036918,13375121,16103339,18628700
63,Zambia,Lusaka,Africa,2318448,2677209,3119430,3658024,4281671,4931249,5720438,6686449,7686401,8684135,9891136
74,Zimbabwe,Harare,Africa,2791326,3263625,3806310,4447149,5202918,6097083,7049926,8690515,10113893,10994041,11834676
